"realm","biome","eco_id","eco_name","species_group","kingdom","habitat_id","habitat","CF_occ_avg_reg","CF_occ_avg_glo","CF_occ_mar_reg","CF_occ_mar_glo","CF_tra_avg_reg","CF_tra_avg_glo","CF_tra_mar_reg","CF_tra_mar_glo","quality_reg","quality_glo"
"AA",1,10101,"Admiralty Islands lowland rain forests","Eukaryota",NA,2,"Cropland_Intense",5.10910704669636e-11,1.0105613998748e-14,7.64615149689911e-11,1.5377689955364e-14,9.03937463758901e-09,1.83169620495647e-12,1.37690371036555e-08,2.84677727084599e-12,"proxy_type","proxy_gep"
"AA",1,10101,"Admiralty Islands lowland rain forests","Eukaryota",NA,3,"Cropland_Light",4.09424152983104e-11,9.49026028884806e-15,6.15038606454291e-11,1.44707473184878e-14,7.28923252779169e-09,1.72557806198887e-12,1.11511259637317e-08,2.68804280747429e-12,"proxy_type","proxy_gep"
"AA",1,10101,"Admiralty Islands lowland rain forests","Eukaryota",NA,4,"Cropland_Minimal",2.86108510350833e-11,5.35169774670146e-15,4.27673110380823e-11,8.13716477766174e-15,5.05199149476545e-09,9.68827110062185e-13,7.68474890574085e-09,1.50435989969242e-12,"proxy_type","proxy_gep"
"AA",1,10101,"Admiralty Islands lowland rain forests","Eukaryota",NA,5,"Managed_forest_Intense",1.50952011910011e-10,3.16789574211983e-14,1.54741526425137e-10,3.23086661502073e-14,2.29005948634836e-08,4.96148676773818e-12,2.34697819234982e-08,5.05934160987238e-12,"proxy_intensity","proxy_gep"
"AA",1,10101,"Admiralty Islands lowland rain forests","Eukaryota",NA,6,"Managed_forest_Light",6.70706959543617e-11,1.02102558213922e-14,6.89201262092336e-11,1.04314674529641e-14,1.00637420390015e-08,1.58464101907172e-12,1.0339247939633e-08,1.61862134218512e-12,"original","proxy_partial"
"AA",1,10101,"Admiralty Islands lowland rain forests","Eukaryota",NA,7,"Managed_forest_Minimal",1.85664330577867e-11,2.23362225536539e-15,1.91037986073181e-11,2.28587423005373e-15,2.75045197842451e-09,3.41331223357632e-13,2.82965708598531e-09,3.49228440116318e-13,"original","proxy_partial"
"AA",1,10101,"Admiralty Islands lowland rain forests","Eukaryota",NA,8,"Pasture_Intense",2.91083156548405e-11,5.67276151330051e-15,4.40037351581548e-11,8.97687068909185e-15,5.05952240712849e-09,1.02819118274191e-12,7.82456249366083e-09,1.67181261305131e-12,"proxy_type","proxy_gep"
"AA",1,10101,"Admiralty Islands lowland rain forests","Eukaryota",NA,9,"Pasture_Light",2.37672589106248e-11,5.3489117984643e-15,3.62762751707652e-11,8.50832376417207e-15,4.17135105955887e-09,9.74337787915573e-13,6.51915322099052e-09,1.5926604076087e-12,"proxy_type","proxy_gep"
"AA",1,10101,"Admiralty Islands lowland rain forests","Eukaryota",NA,10,"Pasture_Minimal",9.38664106727807e-12,2.91383421429054e-15,1.47144578639661e-11,4.67744518951393e-15,1.69235428107805e-09,5.35461449970314e-13,2.72030597128265e-09,8.83369857098833e-13,"proxy_type","proxy_gep"
"AA",1,10101,"Admiralty Islands lowland rain forests","Eukaryota",NA,11,"Plantation_Intense",5.59109755970978e-11,1.37868267338169e-14,7.55119944547662e-11,1.84173300483592e-14,1.07858980589872e-08,2.65680689715247e-12,1.46857926565327e-08,3.57804705452691e-12,"proxy_type","proxy_gep"
"AA",1,10101,"Admiralty Islands lowland rain forests","Eukaryota",NA,12,"Plantation_Light",4.635040594257e-11,1.32071310098118e-14,6.23704829711257e-11,1.76205074437121e-14,8.94231167014994e-09,2.5450228523663e-12,1.21348293689455e-08,3.42337190823916e-12,"proxy_type","proxy_gep"
"AA",1,10101,"Admiralty Islands lowland rain forests","Eukaryota",NA,13,"Plantation_Minimal",1.62360446308434e-11,1.9746203644265e-15,2.21896292444817e-11,2.66342104070284e-15,3.1312579319257e-09,3.80604987349841e-13,4.30998438597961e-09,5.17292465797633e-13,"proxy_type","proxy_gep"
"AA",1,10101,"Admiralty Islands lowland rain forests","Eukaryota",NA,14,"Urban_Intense",8.53776288155638e-11,1.15018525518984e-14,1.10982424448824e-10,1.76300150559453e-14,1.47847682409597e-08,2.17347227223596e-12,1.99188515488438e-08,3.49057760358919e-12,"proxy_type","proxy_gep"
"AA",1,10101,"Admiralty Islands lowland rain forests","Eukaryota",NA,15,"Urban_Light",1.33680472975712e-11,4.27914193255346e-15,2.14590957450943e-11,7.27895713720086e-15,2.59314418691829e-09,8.5752987311013e-13,4.32294025032364e-09,1.51398497289792e-12,"proxy_type","proxy_gep"
"AA",1,10101,"Admiralty Islands lowland rain forests","Eukaryota",NA,16,"Urban_Minimal",0,0,0,0,0,0,0,0,"proxy_type","proxy_gep"
"AA",1,10102,"Banda Sea Islands moist deciduous forests","Eukaryota",NA,2,"Cropland_Intense",5.10910704669636e-11,1.38658371495846e-14,7.64615149689911e-11,2.10968493988573e-14,9.03937463758901e-09,2.49823255961581e-12,1.37690371036555e-08,3.88562242784959e-12,"proxy_type","proxy_type"
"AA",1,10102,"Banda Sea Islands moist deciduous forests","Eukaryota",NA,3,"Cropland_Light",4.09424152983104e-11,1.36255750611668e-14,6.15038606454291e-11,2.0742737725351e-14,7.28923252779169e-09,2.45679920797069e-12,1.11511259637317e-08,3.82364527054967e-12,"proxy_type","proxy_type"
"AA",1,10102,"Banda Sea Islands moist deciduous forests","Eukaryota",NA,4,"Cropland_Minimal",2.86108510350833e-11,7.2096214714213e-15,4.27673110380823e-11,1.09668997863632e-14,5.05199149476545e-09,1.29856064688959e-12,7.68474890574085e-09,2.01916980643278e-12,"proxy_type","proxy_type"
"AA",1,10102,"Banda Sea Islands moist deciduous forests","Eukaryota",NA,5,"Managed_forest_Intense",5.10836205530629e-11,1.18882922889571e-14,6.5233493426641e-11,1.46974629809558e-14,9.08958926685149e-09,2.20697693168469e-12,1.16202012078237e-08,2.73068166108127e-12,"proxy_type","proxy_type"
"AA",1,10102,"Banda Sea Islands moist deciduous forests","Eukaryota",NA,6,"Managed_forest_Light",2.43252773061039e-11,3.48831732431349e-15,3.11604660358666e-11,4.32491257509408e-15,4.30948672900638e-09,6.45238751824395e-13,5.52149161584998e-09,8.00421452362511e-13,"proxy_type","proxy_type"
"AA",1,10102,"Banda Sea Islands moist deciduous forests","Eukaryota",NA,7,"Managed_forest_Minimal",7.16567430114419e-12,8.16849710030358e-16,9.18859543811497e-12,1.01469137265334e-15,1.26764931529852e-09,1.50725074652629e-13,1.62535389018234e-09,1.8730221888719e-13,"proxy_type","proxy_type"
"AA",1,10102,"Banda Sea Islands moist deciduous forests","Eukaryota",NA,8,"Pasture_Intense",1.01223731603268e-09,2.0327769651134e-13,1.20394627470622e-09,2.45720932624856e-13,1.52285357145955e-07,3.18502344401536e-11,1.81174704593209e-07,3.8502839606839e-11,"proxy_partial","proxy_partial"
"AA",1,10102,"Banda Sea Islands moist deciduous forests","Eukaryota",NA,9,"Pasture_Light",7.93863799699199e-10,1.9810786107822e-13,9.45615867178786e-10,2.3960514662337e-13,1.20095620790056e-07,3.10881656582351e-11,1.43095051663495e-07,3.76013312998687e-11,"original","original"
"AA",1,10102,"Banda Sea Islands moist deciduous forests","Eukaryota",NA,10,"Pasture_Minimal",2.77052446165218e-10,1.1414724181421e-13,3.31643023438489e-10,1.38182433247666e-13,4.26842380492753e-08,1.79575116314404e-11,5.11093476997335e-08,2.17381724498108e-11,"proxy_intensity","proxy_intensity"
"AA",1,10102,"Banda Sea Islands moist deciduous forests","Eukaryota",NA,11,"Plantation_Intense",5.59109755970978e-11,1.97157262499865e-14,7.55119944547662e-11,2.61982974308181e-14,1.07858980589872e-08,3.75261172167361e-12,1.46857926565327e-08,5.02132528393396e-12,"proxy_type","proxy_type"
"AA",1,10102,"Banda Sea Islands moist deciduous forests","Eukaryota",NA,12,"Plantation_Light",4.635040594257e-11,1.94893866617861e-14,6.23704829711257e-11,2.58871816286202e-14,8.94231167014994e-09,3.70896614414637e-12,1.21348293689455e-08,4.96093306873229e-12,"proxy_type","proxy_type"
"AA",1,10102,"Banda Sea Islands moist deciduous forests","Eukaryota",NA,13,"Plantation_Minimal",1.62360446308434e-11,2.13600276018296e-15,2.21896292444817e-11,2.85014302798319e-15,3.1312579319257e-09,4.07202973876986e-13,4.30998438597961e-09,5.47145269469901e-13,"proxy_type","proxy_type"
