Facility_ID,Location [POINT],Area [SQ_KM?],Ecoregion_ID,Country,Mineral_Name,Mineral [kg],Mineral_Price [€/kg],Commodity_Name,Commodity [kg],Commodity_Price [€/kg],Total mineral price [€],Total facility mineral price [€],Mineral Factor [m2/kg],Total commodity price [€],Total facility commodity price [€],Commodity Factor [m2/kg]
COM00016.00,POINT (-1.0231408999999998 6.3456449),11.203950931722607,30111.0,Ghana,Gold dominant ore,60800000000.0,21400.0,Gold,73141.76934,35300.0,1301120000000000.0,1301120000000000.0,0.00018427550874543762,2581904457.702,2581904457.702,153.18129480353377
COM00033.00,POINT (27.3498955 -24.784390800000004),0.2934711007589227,30717.0,South Africa,Platinum-group metal ore,103500000000.0,1360.0,PGM,428077.79926299996,54375.6,140760000000000.0,140760000000000.0,2.8354695725499776e-06,23276987181.60518,23276987181.60518,0.6855555258043682
COM00035.00,POINT (48.31224496291279 -18.8265594469625),7.5823163140906855,30117.0,Madagascar,Laterite,124500000000.0,0.00755,Cobalt,99600000.0,32.1,939975000.0,1879950000.0,3.0451069534500743e-05,3197160000.0,16897160000.0,0.01440433502921858
COM00035.00,POINT (48.31224496291279 -18.8265594469625),7.5823163140906855,30117.0,Madagascar,Laterite,124500000000.0,0.00755,Nickel,1096000000.0,12.5,939975000.0,1879950000.0,3.0451069534500743e-05,13700000000.0,16897160000.0,0.00560916473100412
COM00041.00,POINT (-70.25489939689129 -33.092020302600304),1.9973468811443333,61008.0,Chile,Copper dominant ore,1163000000000.0,0.84,Copper,8000000000.0,5.52,976920000000.0,976920000000.0,1.7174091841309834e-06,44160000000.0,44160000000.0,0.00024966836014304167
COM00051.00,POINT (-49.752962380958095 -6.240522467242941),0.8264501046809886,60140.0,Brazil,Bulk metal ore,600000000.0,,Gold,243.8058978,35300.0,,0.0,,8606348.19234,41174348.192339994,708.5403892481368
COM00051.00,POINT (-49.752962380958095 -6.240522467242941),0.8264501046809886,60140.0,Brazil,Bulk metal ore,600000000.0,,Copper,5900000.0,5.52,,0.0,,32567999.999999996,41174348.192339994,0.11079725066996358
COM00072.00,POINT (86.3385483058187 48.2896770021359),0.4181541224930922,81317.0,China,Copper dominant ore,,0.84,Copper,161181000.0,5.52,,0.0,,889719119.9999999,889719119.9999999,0.002594313985476527
COM00088.00,POINT (-115.6136584 39.9428052),2.1906930935776567,51305.0,United States of America,Gold dominant ore,66650000000.0,21400.0,Gold,38186.807481,35300.0,1426310000000000.0,1426310000000000.0,3.286861355705412e-05,1347994304.0793002,1347994304.0793002,57.36779893599759
COM00100.00,POINT (-48.943620111886794 -15.0756265720048),2.874691725169271,60704.0,Brazil,Nickel dominant ore,52000000000.0,11.2,Nickel,682000000.0,12.5,582400000000.0,582400000000.0,5.5282533176332136e-05,8525000000.0,8525000000.0,0.004215090506113301
COM00104.00,POINT (116.85884343297296 -8.967226650975899),35.203074136928954,10201.0,Indonesia,Bulk metal ore,658350515463.9175,,Silver,523735.5176907217,445.0,,0.0,,233062305.37237117,19216499182.355877,0.8152040515952533
COM00104.00,POINT (116.85884343297296 -8.967226650975899),35.203074136928954,10201.0,Indonesia,Bulk metal ore,658350515463.9175,,Gold,156068.50806185568,35300.0,,0.0,,5509218334.583506,19216499182.355877,64.66674836249987
COM00104.00,POINT (116.85884343297296 -8.967226650975899),35.203074136928954,10201.0,Indonesia,Bulk metal ore,658350515463.9175,,Copper,2440981620.0,5.52,,0.0,,13474218542.4,19216499182.355877,0.010112194078215278
COM00110.00,POINT (26.7844396 -28.258482800000007),10.627610071450027,31009.0,South Africa,Gold dominant ore,14300000000.0,21400.0,Gold,34869.9134499,35300.0,306020000000000.0,306020000000000.0,0.0007431895154860159,1230907944.78147,1230907944.78147,304.77879122698266
COM00130.00,POINT (-2.32567933335389 6.464844860614768),1.2504817960220092,30111.0,Ghana,Gold dominant ore,4300000000.0,21400.0,Gold,2834.9523130000007,35300.0,92020000000000.0,92020000000000.0,0.0002908097200051184,100073816.64890002,100073816.64890002,441.09447283743737
COM00151.00,POINT (116.38264539999997 -32.76360989999999),24.84340572617508,11210.0,Australia,Bulk metal ore,651000000000.0,,Gold,358621.46595000004,35300.0,,0.0,,12659337748.035002,16014469790.451,54.76123990423308
COM00151.00,POINT (116.38264539999997 -32.76360989999999),24.84340572617508,11210.0,Australia,Bulk metal ore,651000000000.0,,Copper,607813775.8,5.52,,0.0,,3355132042.4159994,16014469790.451,0.008563230715902736
COM00157.00,POINT (-107.98930168523198 27.094328767372197),0.06670570222566048,50302.0,Mexico,Bulk metal ore,7925000000.0,,Silver,141747.61565,445.0,,0.0,,63077688.96425,502699413.68584996,0.059049278121834546
COM00157.00,POINT (-107.98930168523198 27.094328767372197),0.06670570222566048,50302.0,Mexico,Bulk metal ore,7925000000.0,,Gold,1814.369472,35300.0,,0.0,,64047242.361600004,502699413.68584996,4.684133747642156
COM00157.00,POINT (-107.98930168523198 27.094328767372197),0.06670570222566048,50302.0,Mexico,Bulk metal ore,7925000000.0,,Copper,68038855.5,5.52,,0.0,,375574482.35999995,502699413.68584996,0.0007324764387247791
COM00180.00,POINT (32.4836792 -3.2286884999999996),4.409571437387987,30704.0,Tanzania,Gold dominant ore,10336463223.787169,21400.0,Gold,77506.44238028169,35300.0,221200312989045.4,221200312989045.4,0.0004266035046920399,2735977416.0239434,2735977416.0239434,56.89296659692666
COM00183.00,POINT (28.672003042976698 -26.6516056063586),0.158574735576923,31009.0,South Africa,Gold dominant ore,14200000000.0,21400.0,Gold,55139.822487850004,35300.0,303880000000000.0,303880000000000.0,1.116723489978331e-05,1946435733.8211052,1946435733.8211052,2.8758659063848957
COM00186.00,POINT (32.6710224 -3.8639977),10.80466648546099,30704.0,Tanzania,Gold dominant ore,10668231611.893583,21400.0,Gold,8739.993788732396,35300.0,228300156494522.7,228300156494522.7,0.0010127888930922067,308521780.7422536,308521780.7422536,1236.2327418802483
COM00192.00,POINT (125.668257843582 10.163421226305402),3.0335905258627354,40129.0,Philippines,Ferrous ore,7862000000.0,0.04,Nickel,97490000.0,12.5,314480000.0,314480000.0,0.000385854811226499,1218625000.0,1218625000.0,0.0311169404642808
COM00196.00,POINT (-78.1316615 48.111824000000006),24.33927341581785,50602.0,Canada,Gold dominant ore,133808000000.0,21400.0,Gold,135454.020894,35300.0,2863491200000000.0,2863491200000000.0,0.0001818969973082166,4781526937.5582,4781526937.5582,179.6866069768769
COM00197.00,POINT (-70.28558339999998 -27.515392300000002),22.994328001228812,61201.0,Chile,Bulk metal ore,663696000000.0,,Silver,1077281.87894,445.0,,0.0,,479390436.1283,23069943485.6486,0.44354144026890496
COM00197.00,POINT (-70.28558339999998 -27.515392300000002),22.994328001228812,61201.0,Chile,Bulk metal ore,663696000000.0,,Gold,76543.712451,35300.0,,0.0,,2701993049.5203,23069943485.6486,35.18429852020751
COM00197.00,POINT (-70.28558339999998 -27.515392300000002),22.994328001228812,61201.0,Chile,Bulk metal ore,663696000000.0,,Copper,3603000000.0,5.52,,0.0,,19888560000.0,23069943485.6486,0.005501907304009787
