0;
Copper, Zinc, Gold, Silver;
Iron ore;
Sub-bituminous coal;1
Gold;
Copper, Silver, Gold;
Copper, Silver, Copper cathode, Gold;
Bauxite;
Zinc, Silver, Lead, Copper;
Platinum, Palladium;
Nickel, Cobalt;
Copper, Molybdenum, Silver;
Copper, Zinc, Molybdenum, lead;
Gold, Silver;
Copper, Gold;
Thermal coal;1
Copper, Copper cathodes;
Phosphate;
Diamonds;
Copper, Zinc, Silver;
Manganese;
Copper, Molybdenum;
Lignite;1
Nickel, Manganese;
Gold, Copper, Silver;
Metallurgical coal;1
Iron;
Copper, Gold, Molybdenum, Silver;
Coal;1
Zinc, Lead, Silver, Copper;
Metallurgical bituminous coal;1
Bauxite, Alumina;
Gold, Copper;
Copper, Zinc, Silver, Gold;
Copper, Gold, Silver;
Bituminous coal;1
Copper, Molybdenum, Copper Cathode, Silver;
Nickel;
Silver, Lead, Zinc;
Metallurgical coal, Thermal coal;1
Niobium;
Copper, Zinc;
Copper, Copper cathodes, Molybdenum, Gold, Silver;
Coking coal, Thermal coal;1
Lead, Zinc, Silver;
Thermal bituminous coal;1
Zinc, Silver, Lead, Copper, Gold;
Gold, Silver, Copper;
Copper;
Silver, Gold, Lead, Zinc;
Molybdenum;
Copper, Copper cathode;
Copper, Molybdenum, Gold, Silver;
Sodium tripolyphosphate, Phosphates;
Pulverized Coal Injection, PCI Metallurgical coal;1
Copper, Silver, Gold, Zinc, Lead;
Coking coal, Pulverized Coal Injection, Thermal coal;1
Silver, Gold;
Zinc, Lead, Silver;
Chrome;
Nickel, Copper;
PGM;
Copper, Copper anodes, Molybdenum, Gold, Silver;
Uranium;
Silver, Gold, Zinc, Lead;
Copper, Copper cathode, Gold, Silver;
Lignite, Coal;1
Zinc, Copper, PGM, Copper, Lead, Gold, Silver;
Metallurgical bituminous coal, Thermal bituminous coal;1
Pulverized Coal Injection, Thermal coal;1
Thermal bituminous coal, Metallurgical coal;1
Bauxite, Alumina, Aluminium;
Thermal coal, Hard coking coal;1
Silver, Gold, Zinc, Lead, Copper;
Thermal coal, Semi-soft coking coal;1
Zircon, Rutile, Ilmenite, Refined Zircon, Refined Rutile, Monazite, Synthetic Rutile;
Thermal coal, Metallurgical coal;1
Iron, Gold;
Zircon, Rutile, Ilmenite;
Gold, Silver, Lead, Copper;
Copper, Gold, Copper cathode;
Copper, Cobalt;
Lead, Zinc;
Iron, Iron ore pellets;
Nickel, Copper, Gold, Platinum, Palladium, Cobalt;
Coking coal;1
Thermal coal, Anthracite;1
Copper, Gold, Zinc, Nickel, Cobalt;
Zinc, Lead, Copper;
Gold, Silver, Zinc, Copper;
Copper, Gold, Silver, Molybdenum;
Zinc, Lead;
Thermal coal, Pulverized Coal Injection;1
Silver, Lead, Zinc, Gold;
Silver, Gold, Copper;
Semi-soft coking coal;1
Thermal coal, Coking coal, Pulverized Coal Injection;1
Zinc, Lead, Copper, Sulfur, Silver;
Coking coal, Pulverized Coal Injection;1
Copper, Silver, Calcine;
Coal, Metallurgical coal, Thermal coal;1
Platinum, Palladium, Rhodium, Ruthenium, Iridium, Gold, Nickel, Copper, Cobalt;
Spodumene, Lithium;
Nickel, Cobalt, Copper;
Copper, Zinc, Lead, Silver, Tin;
Nickel, Copper, Cobalt, Palladium, Platinum, Chrome;
Iron, Direct Reduction Iron Pellets;
Copper, Molybdenum, Gold;
Copper, Coper Anodes, Copper cathodes, Uranium oxide, Gold, Silver;
Thermal coal, Coking coal;1
Gold, Silver, Lead, Zinc;
Bituminous coal, Metallurgical coal;1
Gold, Copper, Copper cathode;
Copper, Copper cathode, Molybdenum, Silver, Gold;
Bituminous coal, Sub-bituminous coal;1
Bituminous thermal coal, Bituminous coking coal;1
Copper, Pyrite, Zinc;
Tin, Copper;
Nickel, Cobalt, Iron, Limestone;
Zinc, Lead, Copper, Gold, Silver;
Copper, Cobalt, Copper cathode, Cobalt hydroxide;
PGM, Platinum;
Copper, Iron, Gold;
Copper, Gold, Copper cathode, Silver;
Coal, Thermal coal;1
Zircon, Rutile, Ilmenite,;
Zinc, Zinc ingots;
Iron ore, Iron pellets;
Semi-soft coking coal, Thermal coal;1
Hard coal;1
Brown coal;1
Potash;
Copper, Lead, Zinc, Gold, Silver;
Platinum, Palladium, Rhodium, Ruthenium, Iridium, Gold, Nickel, Copper, Chrome;
Silver, Lead, Zinc, Manganese;
Iron, Manganese;
Semi-soft coking coal, Semi-hard coking coal;1
Bauxite, Aluminium;
Alumina, Bauxite;
Semi-anthracite pulverised coal injection (PCI) coal;1
Coal, Long flame coal;1
Gold, Copper, Copper cathodes, Silver;
Lead, Silver, Copper, Zinc;
Metallurgical coa, Thermal coal;1
Subbituminous coal;
;38
