COUNTRY_NAME,ISO3_CODE,AREA,N_FEATURES
Russian Federation,RUS,11770.934555573,2825
China,CHN,10364.5665832604,8795
Australia,AUS,8482.62826267322,3416
United States,USA,8188.53744353484,3899
Indonesia,IDN,8020.14704841818,1448
Brazil,BRA,5915.78509548154,2427
Canada,CAN,5087.56261609504,2828
Chile,CHL,4562.65175709722,697
South Africa,ZAF,3594.62095252754,1526
Peru,PER,3539.53844060418,852
Guyana,GUY,2388.75025463386,456
Argentina,ARG,2301.00199473702,334
India,IND,2293.40848123516,1204
Myanmar/Burma,MMR,2140.08902973574,170
Kazakhstan,KAZ,2082.5907328258,656
Suriname,SUR,1972.016180071,306
Ghana,GHA,1882.81242572977,577
Venezuela,VEN,1401.39791931827,105
Mexico,MEX,932.215248323815,1583
Ukraine,UKR,877.097579335564,707
Mongolia,MNG,782.917113052294,429
Colombia,COL,772.429696115618,219
Turkey,TUR,769.489913335916,911
Germany,DEU,550.87139556035,146
Namibia,NAM,494.67729487182,262
Zambia,ZMB,480.048192561036,149
Uzbekistan,UZB,468.392571749566,73
Democratic Republic of The Congo,COD,426.222648964074,223
Morocco,MAR,369.734634080212,96
Iran,IRN,363.077336577191,167
Poland,POL,331.657871963356,218
Botswana,BWA,315.199439751653,171
Philippines,PHL,302.6791407158,350
Angola,AGO,294.505349927027,218
Spain,ESP,292.44466388156,256
Bolivia,BOL,286.765070629956,138
Jordan,JOR,263.891848522895,46
Vietnam,VNM,263.312808212007,146
New Caledonia,NCL,251.656599137666,158
Zimbabwe,ZWE,242.484472999639,320
Guinea,GIN,231.34315495659,128
Bulgaria,BGR,226.149084072596,109
Greece,GRC,216.258481798455,73
Oman,OMN,201.526608486306,110
France,FRA,199.459185286228,158
Mali,MLI,194.943736866708,78
Romania,ROU,176.980071449958,94
Thailand,THA,168.982961392207,81
United Kingdom,GBR,168.910374839469,203
Czechia,CZE,165.877726998555,73
Sweden,SWE,159.285817788866,219
Serbia,SRB,149.66853613896,192
United Republic of Tanzania,TZA,146.603815254249,225
Finland,FIN,143.896025041365,288
Niger,NER,127.515360300575,35
Kyrgyzstan,KGZ,126.612525650596,105
Mozambique,MOZ,123.423583458469,72
Cuba,CUB,118.32478787823,65
New Zealand,NZL,118.079228220891,181
Mauritania,MRT,114.890766479711,43
Burkina Faso,BFA,112.506115986034,89
Malaysia,MYS,112.115992656792,118
Saudi Arabia,SAU,111.402118444701,74
Côte D’Ivoire,CIV,107.296448057107,44
Sierra Leone,SLE,88.5092642355538,104
Papua New Guinea,PNG,77.2964828280644,38
Tunisia,TUN,75.4764912387111,25
Egypt,EGY,72.7539774241056,29
Hungary,HUN,71.3931339173339,110
Ecuador,ECU,71.0246392796819,97
Western Sahara,ESH,62.9050226366831,3
Senegal,SEN,58.9600871178139,27
Laos,LAO,56.49283304415,56
Israel,ISR,55.2550973444491,10
North Macedonia,MKD,53.5695732940671,34
Gabon,GAB,51.8357321667508,13
Sudan,SDN,50.9458105039305,33
Madagascar,MDG,44.4665445854105,63
Armenia,ARM,43.3991746455855,71
Algeria,DZA,42.7706274770146,97
Portugal,PRT,39.9429476278718,162
South Korea,KOR,39.1074766458007,125
Norway,NOR,35.8803589663102,109
Tajikistan,TJK,34.2308713696864,67
Dominican Republic,DOM,31.1769264681243,29
Bosnia and Herzegovina,BIH,29.0636714082498,14
Ireland,IRL,25.8077496320698,97
Jamaica,JAM,25.6187331781328,56
Belarus,BLR,24.6912090345687,6
Nigeria,NGA,24.6513918999833,70
Azerbaijan,AZE,24.5918690622071,25
North Korea,PRK,24.5176535499681,30
Kenya,KEN,23.5236500000953,29
Italy,ITA,23.2998783827973,76
Pakistan,PAK,22.7988494018853,28
Slovakia,SVK,19.4250899469214,94
Albania,ALB,17.1984846346319,91
Nicaragua,NIC,16.9845405810879,28
Ethiopia,ETH,16.2990389613371,33
Cyprus,CYP,16.2713014644277,32
Panama,PAN,15.569953844538,21
Liberia,LBR,15.13265756071,51
Austria,AUT,14.9437534363341,48
Georgia,GEO,14.5959791791026,9
Uruguay,URY,13.4506453173845,28
Japan,JPN,13.2247706770648,47
Turkmenistan,TKM,13.067010864242,3
Lesotho,LSO,12.200871702438,9
Montenegro,MNE,10.8692351215586,13
Eritrea,ERI,10.6323518974652,6
Guatemala,GTM,10.6021999872166,20
Congo,COG,10.3726089237642,26
Sri Lanka,LKA,10.1230396524378,45
Honduras,HND,9.66375726490585,16
Iraq,IRQ,8.85084738697245,4
Afghanistan,AFG,6.78562093511082,10
Solomon Islands,SLB,5.93211983782529,3
Togo,TGO,5.43355659950312,3
Malawi,MWI,4.99806118958137,14
Cambodia,KHM,4.59562615493972,16
Cameroon,CMR,4.40760737439319,5
United Arab Emirates,ARE,4.21391672964935,6
Fiji,FJI,3.53372781340135,18
Paraguay,PRY,3.51689439190135,29
Haiti,HTI,3.36105748290754,10
Uganda,UGA,3.14446086732348,17
Belgium,BEL,1.90732531361031,3
Slovenia,SVN,1.74503780132913,4
Rwanda,RWA,1.63641110864282,16
Luxembourg,LUX,1.42075134978774,5
Netherlands,NLD,1.41673582820987,8
Costa Rica,CRI,1.36141782445856,4
Bangladesh,BGD,1.27221797487483,2
Svalbard and Jan Mayen,SJM,1.02767573449627,3
Somalia,SOM,0.704170404943129,3
El Salvador,SLV,0.586574326740916,5
Switzerland,CHE,0.548006753087642,10
Greenland,GRL,0.359323314712182,2
Aruba,ABW,0.356910108477353,2
Eswatini,SWZ,0.3278016166234,2
Chad,TCD,0.198390131601844,2
Benin,BEN,0.114692524468213,2
Burundi,BDI,0.0785677977441256,1
Guinea-Bissau,GNB,0.0555903780092051,2
Iceland,ISL,0.0522571206120122,1
